affinity_group,category,description,eula,icon_uri,image_family,is_premium,label,language,location,logical_size_in_gb,media_link,name,os,os_state,pricing_detail_link,privacy_uri,published_date,publisher_name,recommended_vm_size,show_in_gui,small_icon_uri
,Public,"Microsoft Team Foundation Server 2013 Trial on Windows Server 2012 R2 Update. Virtual Machines created with this trial image will require a product key for Team Foundation Server (such as from an MSDN Subscription). This image includes a complete installation of Team Foundation Server 2013 Update 4. Some components require additional setup and configuration. You can configure SQL Server using SQL Server Express included in this image, by downloading and installing SQL Server Standard edition (from an MSDN Subscription), or by connect to a pre-existing SQL Server. Minimum virtual machine size for this image is Medium. For more details on TFS server setup please see the [Team Foundation Server install guide|http://msdn.microsoft.com/en-us/library/dd631902.aspx].",http://www.microsoft.com/en-us/download/details.aspx?id=13350,VisualStudio2013_100.png,Team Foundation Server 2013 Update 4 on Windows Server 2012 R2,False,Team Foundation Server 2013 Update 4 on Windows Server 2012 R2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2,Windows,,,http://go.microsoft.com/fwlink/?LinkID=286720,2014-11-12T08:00:00Z,Microsoft Visual Studio Group,,True,VisualStudio2013_45.png
,Public,"This image contains Windows Server 2012 R2, Visual Studio Community 2013, and CTP 3.0 of the Tools for Apache Cordova. It allows you to easily and quickly set up a development environment in Azure to build and test Android, iOS, and Windows apps using HTML, CSS, and JavaScript. Please see [http://go.microsoft.com/fwlink/?LinkID=397716|http://go.microsoft.com/fwlink/?LinkID=397716] for more information.",http://go.microsoft.com/fwlink/?LinkID=430755,VisualStudio2013_100.png,Visual Studio Community 2013 with Tools for Apache Cordova CTP 3.0 on Windows Server 2012 R2,False,Visual Studio Community 2013 with Tools for Apache Cordova CTP 3.0 on Windows Server 2012 R2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2013-Community-12.0.31101.0-ApacheCordova-CTP3.0-AzureSDK-2.5-WS2012R2-201412.10,Windows,,,http://go.microsoft.com/fwlink/?LinkId=286720,2014-12-10T08:00:00Z,Microsoft Visual Studio Group,,True,VisualStudio2013_45.png
,Public,"The Visual Studio Community 2013 image enables you to unleash the full power of Visual Studio to develop cross-platform solutions. Create apps in one unified IDE, and incorporate new languages, features, and development tools into them with Visual Studio Extensions (available in the Visual Studio Gallery).",http://go.microsoft.com/fwlink/?LinkID=430755,VisualStudio2013_100.png,Visual Studio Community 2013 Update 4 on Windows Server 2012 R2,False,Visual Studio Community 2013 Update 4 on Windows Server 2012 R2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2013-Community-12.0.31101.0-AzureSDK-2.5-WS2012R2-201502.23,Windows,,,http://go.microsoft.com/fwlink/?LinkId=299229,2015-02-23T08:00:00Z,Microsoft Visual Studio Group,,True,VisualStudio2013_45.png
,Public,The Visual Studio Ultimate 2015 CTP 6 image enables you to quickly create a development environment to explore the new Visual Studio 2015  capabilities. The image also includes Microsoft Azure SDK 2.5 for Azure development scenarios. By using the image you agree to Microsoft Supplemental Software License Terms for Microsoft Visual Studio 2015 Product Family Preview which can be found on the image desktop.,http://go.microsoft.com/fwlink/?LinkId=402934,VisualStudio2013_100.png,Visual Studio Ultimate 2015 CTP 6 on Windows Server 2012 R2,False,Visual Studio Ultimate 2015 CTP 6 on Windows Server 2012 R2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2015-Ultimate-CTP6-14.0.22609.00-AzureSDK-2.5-Cordova-CTP3.0-WS2012R2,Windows,,,http://go.microsoft.com/fwlink/?LinkID=341745,2015-02-16T08:00:00Z,Microsoft Visual Studio Group,,True,VisualStudio2013_45.png
,Public,The Visual Studio Ultimate 2015 CTP 5 image enables you to quickly create a development environment to explore the new Visual Studio 2015 capabilities. The image also includes Microsoft Azure SDK 2.5 for Azure development scenarios. By using the image you agree to Microsoft Supplemental Software License Terms for Microsoft Visual Studio 2015 Product Family Preview which can be found on the image desktop.,http://go.microsoft.com/fwlink/?LinkId=402934,VisualStudio2013_100.png,Visual Studio Ultimate 2015 CTP 5 on Windows Server 2012 R2,False,Visual Studio Ultimate 2015 CTP 5 on Windows Server 2012 R2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2015-Ultimate-Preview-14.0.22512.0-AzureSDK-2.5-WS2012R2-201501.12,Windows,,,http://go.microsoft.com/fwlink/?LinkID=341745,2015-01-14T08:00:00Z,Microsoft Visual Studio Group,,True,VisualStudio2013_45.png
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.2 x64 v5.8.8.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.2-x64-v5.8.8.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-08-28T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.2 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-08-28T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8.5,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.5,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-10-12T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8.6,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.6,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-11-12T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8.7,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.7,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-01-15T00:00:00Z,RightScale with Linux,,False,
